OBJECTID,abiebals_FS,abiebals_NHP,fagugran_FS,fagugran_NHP,fraxamer_FS,fraxamer_NHP,fraxnigr_FS,fraxnigr_NHP,fraxpenni_FS,fraxpenni_NHP,pinustro_FS,pinustro_NHP,querrubr_FS,querrubr_NHP,tsugcana_FS,tsugcana_NHP
91,1,0,2,1,3,0,1,0,1,0,1,0,1,0,2,0
92,1,0,3,1,4,1,1,0,1,0,1,0,1,0,1,0
93,1,0,4,1,4,1,1,0,1,0,1,0,1,0,1,0
94,1,0,2,1,2,1,1,1,1,0,2,1,5,1,5,1
95,1,0,4,1,1,1,1,0,1,0,1,0,1,0,1,0
96,1,0,1,0,3,1,1,0,1,0,3,0,2,0,3,0
97,1,0,2,1,2,1,1,1,1,0,2,0,1,0,2,1
98,1,0,2,1,2,1,1,0,1,0,1,0,2,0,1,1
99,1,0,3,1,3,1,1,0,1,0,1,0,1,1,1,1
100,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1
101,1,0,2,1,1,1,1,0,1,0,4,1,3,1,3,1
102,1,0,1,0,1,0,1,0,1,0,1,0,3,0,5,1
103,1,0,2,1,2,1,1,0,1,0,2,1,3,1,3,1
104,1,1,1,0,2,1,1,1,1,0,4,1,2,0,4,1
105,1,0,2,1,1,1,1,0,1,0,3,0,4,1,2,1
106,1,0,3,1,4,1,1,1,1,0,1,0,1,0,1,1
107,1,0,1,0,1,1,1,0,1,0,4,0,3,0,3,0
108,2,0,1,1,2,1,1,0,1,0,2,1,1,1,3,1
109,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
110,1,0,3,1,1,1,1,0,1,0,1,0,1,0,1,1
111,1,0,2,0,2,1,1,0,1,0,3,1,3,1,3,1
112,1,0,2,1,3,1,1,0,1,0,3,1,3,1,2,1
113,1,0,1,1,1,1,1,1,1,0,5,1,2,0,1,1
114,1,0,4,1,4,1,1,0,1,0,1,0,1,0,1,1
115,1,0,1,1,2,1,1,1,1,0,3,1,2,1,4,1
116,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
117,1,0,2,0,4,0,1,1,1,0,3,0,4,0,4,0
118,1,0,3,1,4,1,1,0,1,0,1,0,1,0,2,1
119,1,0,2,1,1,1,1,0,1,0,3,0,4,1,2,1
120,1,0,1,1,2,1,1,1,1,0,2,0,1,1,4,1
121,1,0,3,1,3,1,1,0,1,0,2,0,2,0,4,0
122,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
123,1,0,1,0,1,0,1,0,1,0,4,1,1,0,2,1
124,1,0,3,1,3,1,1,0,1,0,1,0,1,0,1,0
125,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
126,1,0,2,1,3,1,1,0,1,0,1,0,2,0,3,1
127,1,0,1,1,2,1,1,0,1,0,1,0,2,0,5,0
128,1,0,3,1,1,0,1,0,1,0,1,0,1,0,1,0
129,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
130,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
131,1,0,2,1,1,1,1,0,1,0,2,1,2,1,3,1
132,1,0,2,1,1,1,1,0,1,0,2,0,4,1,5,1
133,1,0,1,1,4,1,1,0,1,0,1,1,2,1,2,1
134,1,0,4,1,5,1,1,0,1,0,1,0,1,0,1,1
135,2,0,1,0,1,0,3,1,2,0,3,0,2,0,2,0
136,1,0,2,1,2,1,1,0,1,0,1,1,1,1,1,1
137,1,0,2,1,3,1,1,0,1,0,2,0,1,1,2,1
138,1,0,3,1,4,1,1,0,1,0,1,1,4,1,1,1
139,1,0,1,0,1,1,1,0,1,0,5,0,2,0,1,1
140,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
141,1,1,1,1,3,1,1,0,1,0,5,1,1,0,3,1
142,1,0,3,1,3,1,1,0,1,0,1,0,1,0,3,1
143,2,0,1,1,3,1,1,0,1,0,3,1,2,1,1,1
144,1,0,3,1,4,1,1,0,1,0,1,0,1,0,1,1
145,1,0,1,1,2,1,1,0,1,0,1,0,3,1,1,1
146,1,1,3,1,2,1,1,0,1,0,2,1,2,1,4,1
147,1,1,1,1,4,1,1,1,1,0,3,1,2,1,1,1
148,1,0,1,0,2,1,2,0,1,0,1,0,3,1,4,1
149,1,0,1,1,2,1,1,0,1,0,2,0,1,1,3,1
150,1,0,1,1,1,1,1,0,1,0,3,1,4,1,2,1
151,1,0,3,1,2,1,1,0,1,0,2,1,2,1,4,1
152,1,0,3,1,2,1,1,0,1,0,2,1,2,1,3,1
153,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
154,1,0,4,1,1,0,1,0,2,0,1,0,1,0,1,0
155,1,0,2,1,2,0,1,0,1,0,1,0,1,0,1,0
